Fund,Department,Division,Account,Amount,Current,Annotation,
General Fund,Police,Police Support Division,License&Permits Dogs,-30000.0,-0.0,
Water Services Fund,Water,Water Production Division,Electricity,0.0,105000.0,
General Fund,Parks Rec & Cultural Arts,Community Program,Admission Fees,13000.0,13000.0,
General Fund,Parks Rec & Cultural Arts,Community Program,Class Participation Fees,10000.0,10000.0,
General Fund,Non-Departmental,Inter-Extra Goverment Services,Rents - Holiday Inn Airport,-25000.0,75000.0,
Civic Center Fund,Civic Center,Concessions Division,All Other Expenses,6913.0,15720.0,
General Fund,Information Technology,GIS Appl Services Division,Licenses Taxes & Fees,21290.0,30900.0,
General Fund,Parks Rec & Cultural Arts,Business Services Division,Electricity,2234.0,280000.0,
General Fund,Parks Rec & Cultural Arts,Cultural Arts Division,Training,-20621.0,0.0,
General Fund,Public Works,Streets & Sidewalks Division,All Other Revenues,2265.0,4265.0,
Water Services Fund,Water,Water Production Division,Compensation - Full Time Reg,434.0,366304.0,
Water Services Fund,Water,Water Production Division,Telephone,-22500.0,8000.0,
Water Services Fund,Water,Water Production Division,Compensation - Overtime,-5214.0,10384.0,
General Fund,Parks Rec & Cultural Arts,Business Services Division,Natural Gas,0.0,55000.0,
Water Services Fund,Water,Customer Service Division,Telephone,-6800.0,29640.0,
General Fund,Human Resources,Organizational Development,Training,0.0,7500.0,
General Fund,Parks Rec & Cultural Arts,Planning & Development Div,Training,0.0,4000.0,
Water Services Fund,Water,Customer Service Division,Services - Copying and Dupl,1519.0,22000.0,
Water Services Fund,Water,Water Administration,Compensation - Full Time Reg,-11425.0,537625.0,
Water Services Fund,Water,Meter Services Division,All Other Expenses,-5070.0,28668.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Bank Fees,-4500.0,5000.0,
Parking Services Fund,Transportation,Parking Garage Divison,Employer - 401(K),3006.0,15133.0,
Parking Services Fund,Transportation,Parking Garage Divison,Employer - LGERS,4712.0,21398.0,
Parking Services Fund,Transportation,Parking Garage Divison,FICA Tax Expense,4266.0,23154.0,
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Compensation - Stand By Pay,-3000.0,7974.0,
General Fund,Fire & Rescue,Fire Support Services Division,Fleet Maintenance Charges,32771.0,405749.0,
General Fund,Fire & Rescue,Fire Support Services Division,Fleet Fuel Charges,19481.0,295966.0,
Water Services Fund,Water,Water Production Division,Supplies - Chemical & Lab,-127482.0,180000.0,
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Compensation - Overtime,4651.0,26215.0,
Water Services Fund,Water,Water Production Division,Sewer,2440.0,49440.0,
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Compensation - Temp/Seasonal,43500.0,223794.0,
General Fund,Police,Patrol Division,All Other Revenues,5000.0,5000.0,
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Compensation - Part Time,13590.0,38267.0,
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Compensation - Full Time Reg,-3560.0,1057281.0,
General Fund,Parks Rec & Cultural Arts,Community Program,Sponsorships,8500.0,8500.0,
General Fund,Police,Patrol Division,Group Insurance Expense,12701.0,1561728.0,
General Fund,Public Works,Streets & Sidewalks Division,Compensation - Full Time Reg,-9386.0,153698.0,
General Fund,Public Works,Streets & Sidewalks Division,Compensation - Overtime,285.0,6000.0,
Water Services Fund,Water,Water Conservation Division,All Other Expenses,-4040.0,0.0,
General Fund,Administration Services,City Hall Operations,Services - Janitorial,-600.0,12500.0,
General Fund,Finance,Risk Management Division,Employer - 401(K),113.0,8187.0,
General Fund,Finance,Risk Management Division,Employer - LGERS,1425.0,11576.0,
General Fund,Administration Services,City Hall Operations,Contracted Services,-16494.0,25000.0,
General Fund,Police,Patrol Division,Employer - Police 401(K),-363469.0,0.0,
General Fund,Police,Patrol Division,FICA Tax Expense,101243.0,612950.0,
General Fund,Police,Patrol Division,Employer - LGERS,96539.0,571270.0,
General Fund,Police,Patrol Division,Employer - 401(K),362410.0,392356.0,
Civic Center Fund,Civic Center,Civic Center Administration,Insurance & Bonds,31314.0,51383.0,
General Fund,Parks Rec & Cultural Arts,Cultural Arts Division,Rents - Vendor & Booths,-113125.0,-0.0,
General Fund,Information Technology,Technical Services Division,Radios-Outside Agencies,3940.0,12400.0,
General Fund,Planning & Development,Community Development Division,Green Opportunities,0.0,25000.0,
Water Services Fund,Water,Water Administration,Quality of Serv Award,900.0,3900.0,
Health Insurance Fund,Human Resources,Group Health Life & Dental,Appropriated Fund Balance,750000.0,750000.0,
General Fund,Planning & Development,Community Development Division,Sports Commission,-45000.0,0.0,
General Fund,Police,Police Support Division,Fines & Fees Animal Control Vi,-1000.0,-0.0,
Water Services Fund,Water,Water Production Division,Contracted Services,-12545.0,1000.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Fleet Maintenance Charges,10598.0,80000.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Fleet Fuel Charges,15681.0,80000.0,
Water Services Fund,Water,Water Production Division,Professional Services,-5600.0,20000.0,
General Fund,Planning & Development,Community Development Division,Youthful Hand,-4000.0,4720.0,
Mass Transit Fund,Transportation,Transit Operations Division,Fleet Fuel Charges,-387601.0,0.0,
General Fund,Finance,Risk Management Division,FICA Tax Expense,1568.0,13539.0,
General Fund,Non-Departmental,Non-Divisional,Principal Payments,1332021.0,5387021.0,
General Fund,Administration Services,Building Maintenance,All Other Expenses,3314.0,18794.0,
General Fund,Parks Rec & Cultural Arts,Business Services Division,Water and Sewer,40000.0,192452.0,
General Fund,Police,Police Support Division,Fines & Fees False Alarms,-30000.0,-0.0,
General Fund,Planning & Development,Planning Services Division,FICA Tax Expense,-11508.0,37682.0,
General Fund,Planning & Development,Planning Services Division,Employer - LGERS,-18707.0,34684.0,
General Fund,Planning & Development,Planning Services Division,Employer - 401(K),-14110.0,24529.0,
Mass Transit Fund,Transportation,Transit Operations Division,Passenger Fares,66000.0,770000.0,
General Fund,Finance,Finance Administration,Current Year Prop Taxes DMV,589128.0,2639128.0,
Mass Transit Fund,Transportation,Transit Operations Division,Advertising Revenue,-49000.0,-0.0,
General Fund,Finance,Finance Administration,Current Year Prop Taxes Ad Val,4186296.0,4.8962423E7,
Mass Transit Fund,Transportation,Transit Operations Division,Bulk Fare Income,0.0,130000.0,
General Fund,Parks Rec & Cultural Arts,Community Program,Supplies - Other,22000.0,22000.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Rents - Parks Shelters,-10000.0,15000.0,
General Fund,Public Works,Engineering Services Division,Supplies - Other,3910.0,8000.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Services - Postage,-15788.0,18000.0,
General Fund,Information Technology,Technical Services Division,Training,-409.0,5000.0,
General Fund,Parks Rec & Cultural Arts,Cultural Arts Division,Wrist Band Sales,-40000.0,-0.0,
Workers' Compensation Fund,Finance,Workers Compensation,Income from Investments,10000.0,10000.0,
Water Services Fund,Water,Water Production Division,Compensation - Overtime,-7014.0,14373.0,
Water Services Fund,Water,Water Production Division,Compensation - Temp/Seasonal,-11711.0,6000.0,
General Fund,Human Resources,Human Resources Administration,Dues & Subscriptions,2250.0,8000.0,
General Fund,Human Resources,Human Resources Administration,Training,-7625.0,17000.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Contracted Services,0.0,18400.0,
Water Services Fund,Water,Water Production Division,Compensation - Full Time Reg,-49882.0,301624.0,
General Fund,Non-Departmental,Non-Divisional,Transfer to Civic Center Fund,457982.0,1120576.0,
General Fund,Non-Departmental,Non-Divisional,Transfer to Civic Center Cap,-18950.0,111050.0,
General Fund,Police,Police Administration Division,Compensation - Stand By Pay,10246.0,13000.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Training,-2100.0,6944.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Dues & Subscriptions,0.0,6910.0,
General Fund,Police,Police Administration Division,Compensation - Temp/Seasonal,60000.0,60000.0,
General Fund,Police,Police Administration Division,Compensation - Overtime,129518.0,150000.0,
General Fund,Public Works,Sanitation Division,Materials,-60.0,0.0,
General Fund,Police,Police Administration Division,Compensation - Full Time Reg,1679823.0,2483129.0,
General Fund,Police,Criminal Investigations Div,Other Miscellaneous Revenue,-25000.0,-0.0,
General Fund,Finance,Risk Management Division,Group Insurance Expense,3524.0,27888.0,
General Fund,Public Works,Engineering Services Division,Compensation - Full Time Reg,-93333.0,262711.0,
General Fund,Public Works,Engineering Services Division,Compensation - Overtime,-3647.0,10000.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Supplies - Other,3000.0,16248.0,
General Fund,Building Safety,Permitting & Inspections Div,All Other Expenses,5385.0,43900.0,
General Fund,Public Works,Streets & Sidewalks Division,Bldg Permits & Insp Other,-60000.0,10000.0,
General Fund,Parks Rec & Cultural Arts,Community Program,Purchases for Resale,10000.0,10000.0,
General Fund,Police,Patrol Division,Transfer to Grant Fund,32363.0,40098.0,
Water Services Fund,Water,Water Production Division,Telephone,4200.0,21000.0,
General Fund,Information Technology,GIS Appl Services Division,Compensation - Full Time Reg,-17598.0,336078.0,
General Fund,Information Technology,GIS Appl Services Division,Compensation - Temp/Seasonal,-14500.0,0.0,
General Fund,Fire & Rescue,Fire Support Services Division,All Other Expenses,-2555.0,13499.0,
General Fund,Police,Police Administration Division,Maint & Repair - Equipment,21055.0,21000.0,
General Fund,Public Works,Streets & Sidewalks Division,Bldg Permits & Insp Driveways,10000.0,15000.0,
General Fund,Public Works,Sanitation Division,All Other Revenues,-2300.0,0.0,
Street Cut Utility Fund,Public Works,CAFR Preparation,Retiree OPEB Expense,-2680.55,0.0,
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Group Insurance Expense,1734.0,8134.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Bldg Permits & Insp Soil Erosn,10000.0,160000.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Bldg Permits & Insp Stormwater,-5000.0,15000.0,
Parking Services Fund,Transportation,Parking Garage Divison,Electricity,-11045.0,100000.0,
Water Services Fund,Water,Maintenance & Repairs Division,Training,1400.0,21400.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Bldg Permits & Insp Floodplain,2000.0,12000.0,
General Fund,Information Technology,GIS Appl Services Division,Bldg Permits & Insp Technology,950.0,17050.0,
Water Services Fund,Water,Water Conservation Division,Contracted Services,-3000.0,0.0,
General Fund,Planning & Development,Planning Services Division,OPEB Pension Contributions,8148.0,8148.0,
Street Cut Utility Fund,Public Works,Street Cuts Division,All Other Revenues,-77.83,0.0,
General Fund,Economic Development,Economic Development Division,All Other Revenues,5000.0,5000.0,
Civic Center Fund,Civic Center,Event Personnel Division,Staff Reimbursement,20000.0,150000.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Group Insurance Expense,6075.0,29050.0,
General Fund,Parks Rec & Cultural Arts,Planning & Development Div,Supplies - Other,-1200.0,4000.0,
General Fund,Police,Patrol Division,Maint & Repair - Equipment,16026.0,30000.0,
Mass Transit Fund,Transportation,Transit Operations Division,Electricity,-13917.0,0.0,
Water Services Fund,Water,Water General Operations Div,Services - Postage,891.0,250000.0,
General Fund,Information Technology,Technical Services Division,Licenses Taxes & Fees,755.0,36375.0,
Water Services Fund,Water,Water General Operations Div,Supplies - Other,-2800.0,200.0,
General Fund,Planning & Development,Planning Services Division,Workers Compensation,-564.0,7540.0,
General Fund,Planning & Development,Planning Services Division,Group Insurance Expense,-30893.0,69720.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Compensation - Full Time Reg,679.0,42203.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Compensation - Part Time,18000.0,19500.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Compensation - Temp/Seasonal,1000.0,16000.0,
General Fund,Finance,Finance Administration,Loc Opt Tx 1/2 Ct Hold Hrmls,71619.0,2117873.0,
General Fund,Economic Development,Economic Development Division,Services - Advertising,-3000.0,5000.0,
Water Services Fund,Water,Water Production Division,Supplies - Uniforms,0.0,12000.0,
Water Services Fund,Water,Water Production Division,Supplies - Other,550.0,7000.0,
Water Services Fund,Water,Water Production Division,Supplies - Chemical & Lab,-4100.0,0.0,
General Fund,Fire & Rescue,Emergency Response Division,FICA Tax Expense,26386.0,171554.0,
General Fund,Fire & Rescue,Emergency Response Division,Employer - 401(A),31077.0,235950.0,
General Fund,Fire & Rescue,Emergency Response Division,Employer - LGERS,76452.0,834085.0,
General Fund,Fire & Rescue,Emergency Response Division,Employer - 401(K),28920.0,589876.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,FICA Tax Expense,987.0,8618.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Employer - LGERS,1086.0,7965.0,
Water Services Fund,Water,Water Production Division,Electricity,-4000.0,32000.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Licenses Taxes & Fees,7090.0,9000.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Bank Fees,395.0,6000.0,
General Fund,Parks Rec & Cultural Arts,Cultural Arts Division,Materials,-22511.0,0.0,
Water Services Fund,Water,Water Production Division,Sewer,-1010.0,13390.0,
General Fund,Economic Development,Economic Development Division,Legal Services,4500.0,11000.0,
General Fund,Economic Development,Economic Development Division,Professional Services,11550.0,15000.0,
General Fund,Economic Development,Economic Development Division,Rental/Lease,-10007.0,38096.0,
General Fund,Economic Development,Economic Development Division,Contracted Services,-198576.0,75000.0,
General Fund,Fire & Rescue,Emergency Response Division,Group Insurance Expense,246416.0,2228716.0,
General Fund,Parks Rec & Cultural Arts,Parks Administration Division,Intangible Assets- Depr,-9861.0,0.0,
General Fund,Police,Police Administration Division,Materials,29830.0,64460.0,
General Fund,Human Resources,Organizational Development,Contracted Services,22000.0,42000.0,
Water Services Fund,Water,Customer Service Division,Training,-2500.0,4000.0,
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Materials,-10110.0,48760.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Group Insurance Expense,-12027.0,0.0,
General Fund,Planning & Development,Historic Resources Division,Compensation - Part Time,7978.0,33352.0,
General Fund,Public Works,Streets & Sidewalks Division,Contra Salaries and Wages-PB,70562.0,0.0,
General Fund,Planning & Development,Historic Resources Division,Compensation - Full Time Reg,1921.0,66669.0,
General Fund,Administration Services,Building Maintenance,Materials,0.0,13000.0,
General Fund,Fire & Rescue,Emergency Response Division,Maint & Repair - Equipment,-13250.0,12260.0,
General Fund,Fire & Rescue,Emergency Response Division,Maintenance and Repairs,11580.0,25696.0,
General Fund,Fire & Rescue,Emergency Response Division,Maint & Repair - Buildings,9000.0,9000.0,
General Fund,Finance,Accounting Division,Heavy Equipment Rental Tax,100000.0,100000.0,
General Fund,Finance,Accounting Division,Vehicle Rental Tax,-229000.0,171000.0,
General Fund,Public Works,Public Works Administration,Compensation - Overtime,-770.0,7000.0,
General Fund,Public Works,Public Works Administration,Compensation - Full Time Reg,2061.0,48009.0,
General Fund,Police,Criminal Investigations Div,Fleet Fuel Charges,2902.0,80000.0,
General Fund,Police,Criminal Investigations Div,Fleet Maintenance Charges,4064.0,70103.0,
General Fund,Administration Services,Fleet Management Division,Supplies - Fleet Parts,-25858.0,1350000.0,
General Fund,Building Safety,Permitting & Inspections Div,FICA Tax Expense,51074.0,180946.0,
General Fund,Administration Services,Fleet Management Division,Supplies - Uniforms,-3667.0,13000.0,
General Fund,Building Safety,Permitting & Inspections Div,Employer - LGERS,43768.0,165813.0,
General Fund,Building Safety,Permitting & Inspections Div,Employer - 401(K),28441.0,117265.0,
General Fund,Administration Services,Fleet Management Division,Supplies - Other,1105.0,28000.0,
General Fund,Administration Services,City Manager,Supplies - Other,908.0,10000.0,
Water Services Fund,Water,Water Production Division,FICA Tax Expense,2246.0,28173.0,
General Fund,Non-Departmental,Non-Divisional,Nuisance Court,-1108.0,10000.0,
Water Services Fund,Water,Water Production Division,Employer - LGERS,2224.0,26037.0,
General Fund,Non-Departmental,Non-Divisional,Contingencies,-922995.0,0.0,
General Fund,Economic Development,Economic Development Division,Moogfest support,40000.0,40000.0,
General Fund,Economic Development,Economic Development Division,Sports Commission,45000.0,45000.0,
General Fund,Administration Services,Fleet Management Division,Supplies - Fleet Bench Stock,7867.0,35000.0,
General Fund,Building Safety,Permitting & Inspections Div,Group Insurance Expense,68324.0,446208.0,
General Fund,Public Works,Engineering Services Division,Contra Non-Labor - Powell Bill,143618.0,0.0,
Health Insurance Fund,Human Resources,Group Health Life & Dental,Undefined Claims,1.0726599E7,1.0726599E7,
General Fund,Fire & Rescue,Emergency Response Division,Restrictd Intergv State Grants,47000.0,57000.0,
General Fund,Building Safety,Permitting & Inspections Div,OPEB Pension Contributions,24024.0,24024.0,
General Fund,Finance,Finance Administration,Loc Opt Sales Tx 1/2 Ct 1986,481505.0,4242379.0,
General Fund,Transportation,Traffic Engineering Division,Materials,6885.0,37140.0,
General Fund,Economic Development,Economic Development Division,Economic Development Comm,60000.0,60000.0,
Health Insurance Fund,Human Resources,Group Health Life & Dental,Claims - Dental,717852.0,717852.0,
Health Insurance Fund,Human Resources,Group Health Life & Dental,Admin. Fees - Wellness Program,275500.0,275500.0,
Street Cut Utility Fund,Public Works,Street Cuts Division,Contracted Services,242207.0,242207.0,
General Fund,Transportation,Transportation Admin Div,Insurance & Bonds,5712.0,12307.0,
General Fund,Non-Departmental,Non-Divisional,Licenses Taxes & Fees,-73529.0,0.0,
Street Cut Utility Fund,Public Works,Street Cuts Division,Rental/Lease,-8110.65,2000.0,
General Fund,Non-Departmental,Non-Divisional,Other Expense,5000.0,5000.0,
General Fund,Information Technology,Technical Services Division,Group Insurance Expense,11816.0,55776.0,
General Fund,Police,Police Administration Division,All Other Revenues,2900.0,4400.0,
General Fund,Police,Police Support Division,FICA Tax Expense,-124682.0,0.0,
General Fund,Police,Police Support Division,Employer - Police 401(K),-28746.0,0.0,
General Fund,Police,Police Support Division,Employer - LGERS,-111813.0,0.0,
General Fund,Police,Police Support Division,Employer - 401(K),-54533.0,0.0,
General Fund,Administration Services,Sustainability Division,All Other Expenses,-5869.0,12283.0,
General Fund,Information Technology,Technical Services Division,Employer - LGERS,7665.0,32999.0,
General Fund,Information Technology,Technical Services Division,Employer - 401(K),4920.0,23337.0,
General Fund,Information Technology,Technical Services Division,FICA Tax Expense,2109.0,33168.0,
General Fund,Transportation,Transportation Planning Div,Contracted Services,-14747.0,38700.0,
Civic Center Fund,Civic Center,Operations Division,Compensation - Full Time Reg,-51917.0,240205.0,
Civic Center Fund,Civic Center,Operations Division,Compensation - Temp/Seasonal,-14942.0,11500.0,
Civic Center Fund,Civic Center,Operations Division,Compensation - Overtime,1827.0,9000.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Admission Fees,-6000.0,20000.0,
General Fund,Parks Rec & Cultural Arts,Business Services Division,All Other Expenses,8439.0,22093.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Rental/Lease,10968.0,24000.0,
General Fund,Administration Services,Building Maintenance,Water and Sewer,0.0,20000.0,
General Fund,Non-Departmental,Non-Divisional,All Other Expenses,4625.0,9500.0,
General Fund,Finance,Accounting Division,Services - Copying and Dupl,-7916.0,1760.0,
General Fund,Administration Services,Community Relations,Supplies - Other,-2800.0,5000.0,
Civic Center Fund,Civic Center,Civic Center Administration,Other Miscellaneous Revenue,28500.0,32000.0,
General Fund,Finance,Accounting Division,Professional Services,-1100.0,0.0,
General Fund,Finance,Accounting Division,Contracted Services,-11754.0,127100.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Group Insurance Expense,-7279.0,109228.0,
Civic Center Fund,Civic Center,Operations Division,All Other Expenses,500.0,3000.0,
General Fund,Administration Services,Building Maintenance,Natural Gas,-10000.0,40000.0,
Water Services Fund,Water,Construction Crew Division,Fleet Fuel Charges,-26000.0,0.0,
Water Services Fund,Water,Construction Crew Division,Fleet Maintenance Charges,-26000.0,0.0,
General Fund,Parks Rec & Cultural Arts,Cultural Arts Division,All Other Revenues,-19000.0,0.0,
General Fund,Transportation,Transportation Admin Div,Group Insurance Expense,9213.0,24789.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Employer - LGERS,1799.0,31388.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,FICA Tax Expense,2636.0,37559.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Employer - 401(K),121.0,22198.0,
General Fund,Finance,Finance Administration,Quality of Serv Award,-5920.0,1056.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Contracted Services,676489.0,682289.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Professional Services,440545.0,600000.0,
General Fund,Finance,Accounting Division,Services - Postage,-6882.0,21000.0,
General Fund,Finance,Accounting Division,Supplies - Other,1759.0,13380.0,
General Fund,Administration Services,Building Maintenance,Electricity,5029.0,130000.0,
Parking Services Fund,Transportation,Parking Garage Divison,Interest Expense,69579.0,390000.0,
General Fund,Public Works,Public Works Administration,Powell Bill Expenses,-1392756.0,0.0,
General Fund,Police,Police Support Division,Fleet Fuel Charges,-24272.0,0.0,
General Fund,Police,Police Support Division,Fleet Maintenance Charges,-23444.0,0.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Group Insurance Expense,743.0,18592.0,
General Fund,Police,Police Support Division,Group Insurance Expense,-329087.0,0.0,
General Fund,Finance,Finance Administration,Compensation - Full Time Reg,72417.0,320119.0,
General Fund,Legal,Legal Division,Legal Services,7200.0,50000.0,
Water Services Fund,Water,Maintenance & Repairs Division,Water and Sewer,-3000.0,7000.0,
Water Services Fund,Water,Water General Operations Div,Transfer to Gen Cap Proj Fund,-696609.0,0.0,
General Fund,Public Works,Streets & Sidewalks Division,Materials,-468087.0,0.0,
General Fund,Public Works,Public Works Administration,Rental/Lease,-10237.0,7374.0,
General Fund,Public Works,Engineering Services Division,Contra Salaries and Wages-PB,249830.0,0.0,
Water Services Fund,Water,Water Operating Equipment Div,Mach & Equipment,-446486.0,254728.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,FICA Tax Expense,266.0,9766.0,
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,Supplies - Other,-877.0,10000.0,
General Fund,Public Works,Public Works Administration,Contracted Services,-3300.0,0.0,
General Fund,Administration Services,Fleet Management Division,Rents - Rental Income,3000.0,11000.0,
General Fund,Public Works,Engineering Services Division,Dues & Subscriptions,-288.0,600.0,
General Fund,Building Safety,Permitting & Inspections Div,Training,5960.0,28200.0,
General Fund,Administration Services,Sustainability Division,Compensation - Full Time Reg,42017.0,107152.0,
General Fund,Transportation,Transportation Admin Div,FICA Tax Expense,414.0,9296.0,
General Fund,Public Works,Engineering Services Division,Training,7835.0,10800.0,
General Fund,Administration Services,Sustainability Division,Compensation - Temp/Seasonal,-11379.0,0.0,
General Fund,Administration Services,Sustainability Division,Compensation - Part Time,-26767.0,0.0,
General Fund,Parks Rec & Cultural Arts,Parks Administration Division,Rental/Lease - Computers,-5500.0,5000.0,
General Fund,Transportation,Transportation Admin Div,Employer - LGERS,608.0,8592.0,
General Fund,Transportation,Transportation Admin Div,Employer - 401(K),272.0,6076.0,
Civic Center Fund,Civic Center,Concessions Division,Concessions - Mixed Beverages,25000.0,175000.0,
Civic Center Fund,Civic Center,Concessions Division,Concessions - Beer & Wine,90000.0,440000.0,
Civic Center Fund,Civic Center,Concessions Division,Food Sales,158889.0,373922.0,
Civic Center Fund,Civic Center,Concessions Division,Vending Sales,-2000.0,10000.0,
General Fund,Planning & Development,Planning Services Division,Fleet Maintenance Charges,-111.0,3000.0,
General Fund,Information Technology,GIS Appl Services Division,Contracted Services,-2000.0,20000.0,
General Fund,Finance,Accounting Division,Other Miscellaneous Revenue,85000.0,85000.0,
Workers' Compensation Fund,Finance,Workers Compensation,Contracted Services,35000.0,35000.0,
General Fund,Fire & Rescue,Emergency Response Division,Rental/Lease,3731.0,30233.0,
General Fund,Parks Rec & Cultural Arts,Parks Administration Division,Contracted Services,-10728.0,0.0,
General Fund,Fire & Rescue,Emergency Response Division,Professional Services,0.0,16127.0,
General Fund,Public Works,Public Works Administration,OPEB Pension Contributions,50406.0,50406.0,
Street Cut Utility Fund,Public Works,Street Cuts Division,Sales & Serv - Street Patches,304690.78,1483814.0,
General Fund,Non-Departmental,Inter-Extra Goverment Services,Crime Stoppers,-1382.0,41359.0,
General Fund,Non-Departmental,Inter-Extra Goverment Services,Police ID Bureau,44927.0,424188.0,
Street Cut Utility Fund,Public Works,Street Cuts Division,Sales & Services - Permit Fees,-13740.65,-0.0,
Street Cut Utility Fund,Public Works,Street Cuts Division,Sales & Serv - Cap Recov Fee,-206633.63,-0.0,
General Fund,Administration Services,Governing Body Division,All Other Expenses,-117.0,3600.0,
Water Services Fund,Water,Construction Crew Division,Compensation - Full Time Reg,-237643.0,0.0,
Civic Center Fund,Civic Center,Concessions Division,Catering In - House,15000.0,40000.0,
Civic Center Fund,Civic Center,Concessions Division,Novelty Sales,-2000.0,48000.0,
General Fund,Non-Departmental,Inter-Extra Goverment Services,Economic Incentives,-670000.0,595400.0,
General Fund,Administration Services,City Hall Operations,All Other Expenses,-1122.0,8098.0,
General Fund,Public Works,Streets & Sidewalks Division,Compensation - Overtime,-658.0,8500.0,
Mass Transit Fund,Transportation,Transit Operations Division,Oper Transfers Transit Cap Pro,-44074.0,-0.0,
General Fund,Public Works,Streets & Sidewalks Division,Compensation - Full Time Reg,13444.0,298446.0,
Mass Transit Fund,Transportation,Transit Operations Division,Oper Transfers Parking Service,0.0,616875.0,
