LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2010,2011,2012,2013,2014,LEVEL
Parking Services Fund,Transportation/Parking Services Division Total,,,,,1653752.1500000001,1585822.02,1620427.5,1829554.0,1952213.0,2
Parking Services Fund Total,,,,,,2827256.69,2920930.889999999,3245832.9600000004,4666314.0,4027807.0,1
Water Services Fund,Water/Maintenance & Repairs Division,M & R City Water,,,,4956.0,1567.98,-0.0,7500.0,19000.0,3
Water Services Fund,Water/Maintenance & Repairs Division Total,,,,,4956.0,1567.98,0.0,7500.0,19000.0,2
Water Services Fund,Water/Water Administration,Delinquent & Interest Fee,,,,855716.11,883144.5,1026503.76,830000.0,912000.0,3
Water Services Fund,Water/Water Administration,Water Availability,,,,52440.8,43699.0,48262.08,42000.0,70000.0,3
Water Services Fund,Water/Water Administration,Water Reservation Fees,,,,14102.4,19072.0,11128.0,9000.0,4784.0,3
Water Services Fund,Water/Water Administration Total,,,,,922259.31,945915.5,1085893.84,881000.0,986784.0,2
Water Services Fund,Water/Water General Operations Div,Transfer From Wtr Cap Proj Fd,,,,-0.0,-0.0,229880.0,67200.0,-0.0,3
Water Services Fund,Water/Water General Operations Div,Sale of Capital Assets,,,,58286.8,20376.0,42598.03,-0.0,46295.0,3
Water Services Fund,Water/Water General Operations Div,Approp Fund Bal Res for Enc,,,,-0.0,-0.0,-0.0,1003979.0,-0.0,3
Water Services Fund,Water/Water General Operations Div,Charges for Services,,,,-0.0,-0.0,-0.0,-0.0,45000.0,3
Water Services Fund,Water/Water General Operations Div,Oper Transfers from Strm Wtr,,,,-0.0,-0.0,-0.0,45000.0,-0.0,3
Water Services Fund,Water/Water General Operations Div,Income from Investments,,,,300865.96,142299.9,190627.33,112500.0,69780.0,3
Water Services Fund,Water/Water General Operations Div,Appropriated Fund Balance,,,,-0.0,-0.0,-0.0,-0.0,175907.0,3
Water Services Fund,Water/Water General Operations Div Total,,,,,359152.76,162675.9,463105.36,1228679.0,336982.0,2
Water Services Fund,Water/Meter Services Division,Account Setup Fees,,,,446222.16,437405.28,385327.44,440000.0,430000.0,3
Water Services Fund,Water/Meter Services Division,Wtr Serv Connection Fees,,,,471900.6,483396.52,497081.67,480000.0,562000.0,3
Water Services Fund,Water/Meter Services Division,Capital Improvement Fees,,,,6146019.39,6392332.7,6215830.71,6358552.0,6552250.0,3
Water Services Fund,Water/Meter Services Division,Utility Charges,,,,2.121402013E7,2.244877126E7,2.279541701E7,2.3197E7,2.3572342E7,3
Water Services Fund,Water/Meter Services Division,Taps & Connections,,,,957305.8,1040813.39,1062012.83,1070000.0,1200000.0,3
Water Services Fund,Water/Meter Services Division,Fire Line Charges,,,,621651.55,651153.93,660784.61,620000.0,667000.0,3
Water Services Fund,Water/Meter Services Division,Reconnection Fees,,,,390045.0,377024.05,344794.14,320000.0,330000.0,3
Water Services Fund,Water/Meter Services Division Total,,,,,3.024716463E7,3.1830897130000003E7,3.1961248410000004E7,3.2485552E7,3.3313592E7,2
Water Services Fund Total,,,,,,3.1533532700000003E7,3.294105651E7,3.351024761E7,3.4602731E7,3.4656358E7,1
Stormwater Fund,Public Works/Stormwater Admin Division,Bldg Permits & Insp Floodplain,,,,0.0,16500.0,16575.0,10000.0,12000.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Fines & Fees Permit Penalties,,,,0.0,6800.0,3617.0,20000.0,5000.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Bldg Permits & Insp Soil Erosn,,,,0.0,171780.83,161470.6,150000.0,160000.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Bldg Permits & Insp Stormwater,,,,0.0,18160.0,12470.0,20000.0,15000.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Installment Purch Proceed,,,,0.0,-0.0,-0.0,-0.0,206000.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Appropriated Fund Balance,,,,0.0,-0.0,-0.0,413079.0,-0.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Approp Fund Bal Res for Enc,,,,0.0,-0.0,-0.0,61541.0,-0.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Utility Charges,,,,0.0,2806462.94,2700621.56,2739723.0,4782372.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Sale of Capital Assets,,,,0.0,-0.0,27502.0,-0.0,20000.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Income from Investments,,,,0.0,7106.76,12511.99,11000.0,11000.0,3
Stormwater Fund,Public Works/Stormwater Admin Division,Delinquent & Interest Fee,,,,0.0,111531.62,56289.85,50000.0,50000.0,3
Stormwater Fund,Public Works/Stormwater Admin Division Total,,,,,0.0,3138342.15,2991058.0000000005,3475343.0,5261372.0,2
Stormwater Fund Total,,,,,,0.0,3138342.15,2991058.0000000005,3475343.0,5261372.0,1
Property and Liability Fund,Administration Services/General Insurance and Bonds,Charges for Services,,,,0.0,0.0,0.0,0.0,2204297.0,3
Property and Liability Fund,Administration Services/General Insurance and Bonds Total,,,,,0.0,0.0,0.0,0.0,2204297.0,2
Property and Liability Fund Total,,,,,,0.0,0.0,0.0,0.0,2204297.0,1
Mass Transit Fund,Transportation/Transit Administration Div,Restrictd Intergv State Grants,,,,-0.0,-0.0,-0.0,-0.0,590000.0,3
Mass Transit Fund,Transportation/Transit Administration Div,Private Donations - Restricted,,,,-0.0,-0.0,-0.0,16200.0,-0.0,3
Mass Transit Fund,Transportation/Transit Administration Div,Rstrtd Intrgv - FTA Formula,,,,-0.0,161051.0,419967.0,553500.0,553500.0,3
Mass Transit Fund,Transportation/Transit Administration Div Total,,,,,0.0,161051.0,419967.0,569700.0,1143500.0,2
Mass Transit Fund,Transportation/Transit Operations Division,Oper Transfers from General Fd,,,,872831.0,642196.0,985295.0,985295.0,1700546.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Motor Vehicles Licenses,,,,313863.03,300715.26,312874.33,320000.0,320000.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Restricted Intergov Fed Grants,,,,1704549.54,1428448.0,1519423.0,1627000.0,1662230.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Sales Tax Refunds,,,,-0.0,43225.51,37902.11,24000.0,25000.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Oper Transfers Transit Cap Pro,,,,-0.0,-0.0,-0.0,44074.0,-0.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Oper Transfers Parking Service,,,,248116.0,484000.0,500000.0,616875.0,616875.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Passenger Fares,,,,787420.31,728725.53,661899.82,704000.0,770000.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Restrictd Intergv State Grants,,,,1343960.76,1352517.77,744179.33,730319.0,-0.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Advertising Revenue,,,,27513.0,26211.5,19810.0,49000.0,-0.0,3
Mass Transit Fund,Transportation/Transit Operations Division,Bulk Fare Income,,,,14279.62,152403.28,119001.73,130000.0,130000.0,3
Mass Transit Fund,Transportation/Transit Operations Division Total,,,,,5312533.26,5158442.85,4900385.32,5230563.0,5224651.0,2
Mass Transit Fund Total,,,,,,5312533.26,5319493.85,5320352.32,5800263.0,6368151.0,1
General Fund,Public Works/Sanitation Division,Sanitation Container,,,,104260.03,175091.49,156932.97,180000.0,170000.0,3
General Fund,Public Works/Sanitation Division,All Other Revenues,,,,5191.04,3253.99,3456.62,2300.0,0.0,3
General Fund,Public Works/Sanitation Division,TIP fee surcharge,,,,54103.25,54339.51,57343.85,40000.0,50000.0,3
General Fund,Public Works/Sanitation Division,Solid Waste Fees,,,,-0.0,-0.0,-0.0,-0.0,2400000.0,3
General Fund,Public Works/Sanitation Division,Recycling Charges,,,,956541.89,968927.42,1088046.7,1140500.0,-0.0,3
General Fund,Public Works/Sanitation Division Total,,,,,1120096.21,1201612.4100000001,1305780.14,1362800.0,2620000.0,2
General Fund,Parks Rec & Cultural Arts/Cultural Arts Division,Sponsorships,,,,-0.0,-0.0,122140.45,85000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Cultural Arts Division,Concessions - Beverages,,,,-0.0,-0.0,149637.6,115000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Cultural Arts Division,Rents - Vendor & Booths,,,,-0.0,-0.0,143500.0,113125.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Cultural Arts Division,Restrictd Intergv State Grants,,,,-0.0,-0.0,49850.0,50431.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Cultural Arts Division,All Other Revenues,,,,0.0,0.0,8833.0,19000.0,0.0,3
General Fund,Parks Rec & Cultural Arts/Cultural Arts Division,Souvenirs,,,,-0.0,-0.0,19579.37,20000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Cultural Arts Division,Wrist Band Sales,,,,-0.0,-0.0,41805.37,40000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Cultural Arts Division Total,,,,,0.0,0.0,535345.79,442556.0,0.0,2
General Fund,Planning & Development/Historic Resources Division,All Other Revenues,,,,5000.0,5000.0,5040.0,5500.0,5000.0,3
General Fund,Planning & Development/Historic Resources Division,HRC Maj Wks App Fee,,,,557.0,1625.0,4623.58,7925.0,7925.0,3
General Fund,Planning & Development/Historic Resources Division Total,,,,,5557.0,6625.0,9663.58,13425.0,12925.0,2
General Fund,Parks Rec & Cultural Arts/Community Program,Admission Fees,,,,-0.0,-0.0,-0.0,-0.0,13000.0,3
General Fund,Parks Rec & Cultural Arts/Community Program,Rents - Rental Income,,,,-0.0,-0.0,-0.0,-0.0,75001.0,3
General Fund,Parks Rec & Cultural Arts/Community Program,Class Participation Fees,,,,-0.0,-0.0,-0.0,-0.0,10000.0,3
General Fund,Parks Rec & Cultural Arts/Community Program,Sponsorships,,,,-0.0,-0.0,-0.0,-0.0,8500.0,3
General Fund,Parks Rec & Cultural Arts/Community Program,Concessions - Beverages,,,,-0.0,-0.0,-0.0,-0.0,10000.0,3
General Fund,Parks Rec & Cultural Arts/Community Program,All Other Revenues,,,,0.0,0.0,0.0,0.0,2000.0,3
General Fund,Parks Rec & Cultural Arts/Community Program Total,,,,,0.0,0.0,0.0,0.0,118501.0,2
General Fund,Police/Criminal Investigations Div,All Other Revenues,,,,2418.0,2038.0,1882.24,2000.0,2000.0,3
General Fund,Police/Criminal Investigations Div,Oth Loc Partic City Schools,,,,255124.82,263231.4,196767.6,200000.0,249842.0,3
General Fund,Police/Criminal Investigations Div,Other Miscellaneous Revenue,,,,-0.0,665.0,-0.0,25000.0,-0.0,3
General Fund,Police/Criminal Investigations Div Total,,,,,257542.82,265934.4,198649.84,227000.0,251842.0,2
General Fund,Public Works/Streets & Sidewalks Division,Bldg Permits & Insp Driveways,,,,13450.0,19119.96,15539.8,5000.0,15000.0,3
General Fund,Public Works/Streets & Sidewalks Division,All Other Revenues,,,,-4626.8,-2997.5,-1137.5,2000.0,4265.0,3
General Fund,Public Works/Streets & Sidewalks Division,Transfer Wtr Rev Fund-Sullivan,,,,-0.0,-0.0,-0.0,660224.0,-0.0,3
General Fund,Public Works/Streets & Sidewalks Division,Bldg Permits & Insp Other,,,,60854.0,42650.32,21288.63,70000.0,10000.0,3
General Fund,Public Works/Streets & Sidewalks Division,Sales & Serv - Degredation Fee,,,,-0.0,-0.0,158468.75,15742.0,90000.0,3
General Fund,Public Works/Streets & Sidewalks Division,Sales and Services,,,,31624.95,4318.14,22373.01,25000.0,13735.0,3
General Fund,Public Works/Streets & Sidewalks Division,State Powell Bill Distribution,,,,-0.0,-0.0,-0.0,-0.0,2447593.0,3
General Fund,Public Works/Streets & Sidewalks Division Total,,,,,101302.15,63090.92,216532.69,777966.0,2580593.0,2
General Fund,Finance/Finance Administration,Loc Opt Sales Tx 1/2 Ct 1986,,,,2923022.19,3291889.85,3502042.41,3760874.0,4242379.0,3
General Fund,Finance/Finance Administration,Loc Opt Tx 1/2 Ct Hold Hrmls,,,,1609120.73,1838502.73,2092525.72,2046254.0,2117873.0,3
General Fund,Finance/Finance Administration,Ad Val Interest,,,,121855.38,131670.27,111214.07,140000.0,140000.0,3
General Fund,Finance/Finance Administration,ABC Revenue - Component Unit,,,,750000.0,586522.58,820905.81,750000.0,975000.0,3
General Fund,Finance/Finance Administration,Prior Year DMV  Taxes 2005,,,,1309.49,46.22,-0.0,186922.0,186922.0,3
General Fund,Finance/Finance Administration,Loc Option Sales Tax One Cent,,,,6596753.3,6871595.49,7323264.12,7751085.0,8630491.0,3
General Fund,Finance/Finance Administration,Loc Opt Sales Tx 1/2 Ct 1983,,,,2514766.17,2558051.76,2819157.0,2947112.0,3358023.0,3
General Fund,Finance/Finance Administration,Current Year Prop Taxes DMV,,,,1875854.46,1886323.73,2021466.13,2050000.0,2639128.0,3
General Fund,Finance/Finance Administration,Prior Year Ad Valorem 2005,,,,1478.23,782.4,734.66,175000.0,175000.0,3
General Fund,Finance/Finance Administration,Payments in Lieu of Taxes AHA,,,,93682.47,68355.91,84765.03,68000.0,70000.0,3
General Fund,Finance/Finance Administration,Current Year Prop Taxes Ad Val,,,,4.287355529E7,4.367000587E7,4.414425073E7,4.4776127E7,4.8962423E7,3
General Fund,Finance/Finance Administration Total,,,,,5.936139770999999E7,6.0903746809999995E7,6.292032567999999E7,6.4651374E7,7.1497239E7,2
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Admission Fees,,,,19696.0,37447.35,47263.09,26000.0,40000.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Cemetary Interment Fees,,,,44450.0,30900.0,33675.0,35000.0,35000.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Admission Fees,,,,340958.65,356561.37,403741.34,365000.0,400000.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,All Other Revenues,,,,14248.41,20257.25,22243.66,14800.0,26000.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Admission Fees,,,,18560.0,33101.0,40637.0,27000.0,30000.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Admission Fees,,,,13020.0,21193.31,25224.55,26000.0,20000.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Admission Fees,,,,80579.96,73938.5,74285.77,70000.0,70000.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Concessions - Food & Bev,,,,9801.85,11450.31,2595.29,10000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Sales and Services,,,,8000.0,8294.47,8470.02,12000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Rents - Rental Income,,,,-0.0,-0.0,-0.0,9000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Oper Trans from Cemetery Fund,,,,-0.0,10249.79,4693.28,10000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Grave Sales,,,,-0.0,58975.0,34450.0,20000.0,35000.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div,Souvenirs,,,,74865.5,71070.08,33136.61,10000.0,-0.0,3
General Fund,Parks Rec & Cultural Arts/Specialized Facilities Div Total,,,,,624180.37,733438.43,730415.6100000001,634800.0,656000.0,2
General Fund,Transportation/Transportation Planning Div,All Other Revenues,,,,1501.07,862.0,0.0,0.0,2000.0,3
General Fund,Transportation/Transportation Planning Div,Restrictd Intergv Otr Loc Part,,,,-0.0,-0.0,-0.0,9000.0,-0.0,3
General Fund,Transportation/Transportation Planning Div Total,,,,,1501.07,862.0,0.0,9000.0,2000.0,2
General Fund,Planning & Development/Community Development Division,Oper Transfers CDBG Fund,,,,-0.0,13261.72,9717.59,24780.0,-0.0,3
General Fund,Planning & Development/Community Development Division,Restrictd Intergv County Parti,,,,32000.0,32000.0,32000.0,20000.0,32000.0,3
General Fund,Planning & Development/Community Development Division,All Other Revenues,,,,993.0,470.75,0.0,1000.0,0.0,3
General Fund,Planning & Development/Community Development Division Total,,,,,32993.0,45732.47,41717.59,45780.0,32000.0,2
General Fund,Public Works/Public Works Administration,State Powell Bill Proceeds,,,,2125430.63,2147026.12,2277033.19,2277033.0,-0.0,3
General Fund,Public Works/Public Works Administration,Street Closing Fees,,,,8000.0,16000.0,8000.0,12000.0,8000.0,3
General Fund,Public Works/Public Works Administration,Oper Transfers from Strm Wtr,,,,-0.0,-0.0,-0.0,18750.0,-0.0,3
General Fund,Public Works/Public Works Administration,Fines & Fees Encroachment Ag,,,,7400.0,8989.73,13800.0,3000.0,7500.0,3
General Fund,Public Works/Public Works Administration,All Other Revenues,,,,0.0,0.0,0.0,0.0,2000.0,3
General Fund,Public Works/Public Works Administration Total,,,,,2140830.63,2172015.85,2298833.19,2310783.0,17500.0,2
General Fund,Non-Departmental/Inter-Extra Goverment Services,Rents - Holiday Inn Airport,,,,76481.21,42958.56,47135.37,100000.0,75000.0,3
General Fund,Non-Departmental/Inter-Extra Goverment Services Total,,,,,76481.21,42958.56,47135.37,100000.0,75000.0,2
General Fund,Administration Services/Community Relations,Restrictd Intergv State Grants,,,,-0.0,-0.0,56247.94,79060.0,-0.0,3
General Fund,Administration Services/Community Relations Total,,,,,0.0,0.0,56247.94,79060.0,0.0,2
General Fund,Fire & Rescue/Emergency Response Division,Restrictd Intergv State Grants,,,,10500.0,72000.0,43135.12,10000.0,57000.0,3
General Fund,Fire & Rescue/Emergency Response Division Total,,,,,10500.0,72000.0,43135.12,10000.0,57000.0,2
General Fund,Economic Development/Economic Development Division,Rents - Rental Income,,,,-0.0,40284.8,-10000.0,36096.0,36096.0,3
General Fund,Economic Development/Economic Development Division,All Other Revenues,,,,0.0,0.0,0.0,0.0,5000.0,3
General Fund,Economic Development/Economic Development Division Total,,,,,0.0,40284.8,-10000.0,36096.0,41096.0,2
